image,box,text,confidence
Picture1.png,"[286, 76, 328, 83]",Q0@0*0,6.486
Picture1.png,"[240, 79, 277, 86]",0{0,2.8163
Picture1.png,"[170, 81, 219, 88]",0T0N0N0|0*0?0.0,7.3224
Picture1.png,"[207, 86, 289, 97]",0;0n0{0]0M0<0O0T0%0R0M0)0R0,10.5255
Picture1.png,"[188, 107, 272, 123]",0&0*0?0@0*0_0.0,11.726
Picture1.png,"[170, 132, 214, 139]",S0;0/0[0-0[0,7.4034
Picture1.png,"[286, 139, 312, 149]",0K0U0%0V0,15.5038
Picture1.png,"[202, 144, 247, 151]",0N0.0.0,5.5594
Picture1.png,"[263, 153, 293, 160]",R0-0.0,5.2059
Picture1.png,"[191, 156, 235, 163]",Q0N0N0.0[0,7.8856
Picture1.png,"[326, 163, 359, 172]",0i0?0S0|0,8.9894
Picture1.png,"[209, 167, 247, 177]",0X0|0a0$0S0,13.9185
Picture1.png,"[144, 170, 174, 179]",0108050|0*0,9.9385
Picture1.png,"[202, 179, 282, 188]",0107090z0S0<0<0`0,12.3646
Picture1.png,"[137, 181, 163, 191]",0V0L0X0,14.6301
Picture1.png,"[202, 191, 282, 200]","010X0""0$050<0S0|0|0""0S0`0",11.3778
Picture1.png,"[118, 195, 156, 205]",0P0\0;0|0;0J0,8.8822
Picture1.png,"[205, 202, 282, 212]",8070a090a0a0p090106050,16.6417
Picture1.png,"[151, 207, 191, 214]",R0[0.0*0[0,3.2515
Picture1.png,"[118, 209, 144, 216]",0[0*0,2.7651
Picture1.png,"[237, 214, 286, 223]","0""0&0*0H0|0J0J0",9.1657
Picture1.png,"[258, 228, 289, 235]",0,1.7922
Picture1.png,"[216, 242, 249, 249]",0V0*0-0,6.1081
Picture1.png,"[223, 254, 263, 263]","0L0;0_0,0+0",5.8421
Picture1.png,"[284, 263, 331, 275]",0Y0!0R0Q0J0!0p0,18.6387
Picture1.png,"[251, 265, 277, 275]",0O0!0X0,11.8504
Picture1.png,"[144, 270, 177, 277]",R0*0,4.0324
Picture1.png,"[226, 279, 277, 289]",",0_0,0Q0J0""0N0",10.5885
Picture1.png,"[186, 282, 214, 291]",0#0$0J0,9.473
Picture1.png,"[319, 289, 342, 298]",0X050,11.0091
Picture1.png,"[116, 296, 149, 303]",0N0)0\0,6.6933
Picture1.png,"[158, 307, 237, 317]","M0&0""0""0|0|0|0a0\0z0*0",9.8454
Picture1.png,"[303, 317, 335, 326]","0M0<0=0,0*0",9.473
Picture1.png,"[233, 319, 258, 328]","0J0,0*0*0",6.1446
Picture1.png,"[268, 319, 291, 326]",0[0-0,3.2259
Picture1.png,"[116, 321, 163, 331]",0%0*0*0\0,7.4817
Picture1.png,"[116, 338, 149, 345]",0M0.0M0,12.7282
Picture1.png,"[144, 347, 240, 356]",0J0V0X0H0X0L050U0$0(0,11.826
Picture1.png,"[144, 359, 254, 370]","0""060@0J0/0O0X0L090K0K0H0p0H0R0J0K0L0",15.5761
Picture1.png,"[193, 373, 247, 382]","0""0,0|0[0.0*0-0",6.5031
Picture1.png,"[118, 375, 170, 384]",0V0/0]0N0R0J0,9.2957
Picture1.png,"[279, 382, 312, 391]",0-0[0n0@0,10.8669
Picture1.png,"[179, 387, 233, 396]",0&0*0*0*0,6.0308
Picture1.png,"[214, 398, 247, 410]","0R0#0N0Q0""0",15.1987
Picture1.png,"[256, 398, 279, 408]","""0$0U0U0",11.6812
Picture1.png,"[279, 408, 305, 417]",080505050,16.7555
Picture1.png,"[181, 415, 207, 424]",S0`0|0,5.8033
Picture1.png,"[214, 415, 242, 422]",0U0*0\0{0*0,6.2377
Picture1.png,"[170, 485, 307, 515]",0W0*0?0@0*0_0{0,14.2692
Picture1.png,"[268, 541, 298, 555]",#0;0.0[0*0,7.7576
Picture1.png,"[235, 552, 265, 562]",U0%0J0,7.9795
Picture1.png,"[256, 552, 328, 580]",0[0<0@0+0.0_0`0;0<0,8.4489
Picture1.png,"[289, 580, 312, 599]",0:0<070,12.0332
Picture1.png,"[237, 590, 284, 604]","""0,0*0[0{0.0",12.1186
Picture1.png,"[270, 608, 314, 625]",090q05040q01020,21.4209
Picture1.png,"[184, 620, 235, 632]",01030p01030p030,24.7151
Picture2.png,"[193, 10, 242, 26]",0R0L0U0J0,13.0574
Picture2.png,"[258, 10, 296, 26]",0S00*0,12.1613
Picture2.png,"[312, 10, 347, 26]",0U0S0*0,8.8146
Picture2.png,"[366, 10, 414, 29]",S0+0|0?0,14.1775
Picture2.png,"[312, 72, 441, 96]",01080p01040p030102090,25.5539
Picture2.png,"[45, 75, 80, 94]","0T0""0_0",12.4356
Picture2.png,"[457, 78, 479, 96]",0$0,16.7271
Picture2.png,"[487, 78, 519, 99]",0h030a0,18.3608
Picture2.png,"[536, 80, 560, 99]",0Y0V0,13.7742
Picture2.png,"[460, 110, 519, 132]",0S0_0-0*0[0,12.1263
Picture2.png,"[536, 115, 557, 134]",0(0,15.2763
Picture2.png,"[258, 215, 358, 253]",0Y0*0@0,11.8869
Picture2.png,"[91, 296, 169, 317]","0,0_0.0[0,0;0",11.403
Picture2.png,"[188, 296, 253, 317]",_0_0<0.0`0,9.8826
Picture2.png,"[538, 299, 563, 320]",030a0,21.5574
Picture2.png,"[91, 331, 169, 352]","0n0_0.0[0,0;0",11.7969
Picture2.png,"[188, 331, 253, 352]",n0_0<0.0`0,9.8826
Picture2.png,"[530, 334, 563, 355]",05070a0,14.5204
Picture2.png,"[91, 366, 113, 387]",0$0[0,12.8013
Picture2.png,"[132, 369, 210, 390]",0Y0.0]0]0.0[0,14.3572
Picture2.png,"[530, 369, 563, 390]",0$0$0,11.0091
Picture2.png,"[64, 404, 99, 425]",S0*0^0,14.4655
Picture2.png,"[517, 404, 565, 425]",020B010\0,12.0901
Picture2.png,"[35, 474, 129, 495]","""0|0+0{0\0{0*0",11.1372
Picture2.png,"[533, 476, 565, 498]",G0a090,11.1798
Picture2.png,"[64, 511, 99, 533]",R0*0 0,14.6789
Picture2.png,"[517, 514, 565, 536]",0S0m0+0*0,14.7073
Picture2.png,"[32, 546, 137, 568]",0?0*0>0.0n0|0{0,12.7331
Picture2.png,"[158, 546, 210, 571]",0?0\0{0*0,11.9764
Picture2.png,"[517, 549, 530, 571]",06020,13.5694
Picture2.png,"[533, 549, 568, 571]",2070,14.2735
Picture2.png,"[26, 622, 80, 643]",0L0*0`0;0,13.3703
Picture2.png,"[102, 622, 207, 646]",0?0.0[0-0.0_0.0\0,13.1778
Picture2.png,"[503, 625, 530, 646]",030|0,16.6929
Picture2.png,"[546, 625, 571, 646]",0$0\0,10.5995
Picture2.png,"[24, 697, 105, 722]","0,0;0*0[0:0.0",13.8057
Picture2.png,"[506, 700, 541, 722]",0204020,13.7157
Picture2.png,"[549, 700, 573, 722]",05010,11.9308
Picture2.png,"[280, 773, 371, 800]",Q0<0_0<0[0:0q0,11.0457
Picture2.png,"[223, 775, 261, 797]",%0\0~0,13.6547
Picture3.png,"[54, 26, 98, 41]",0505080,20.0432
Picture3.png,"[184, 85, 311, 100]",0L0\0[0/0<0_0@0*0{0<0\0[0,14.1634
Picture3.png,"[45, 265, 95, 280]",0~0.0_0.0,12.3462
Picture3.png,"[104, 265, 175, 283]",`0.0[0-0<0[0:0,12.527
Picture3.png,"[358, 265, 390, 277]",0O0_0<0[0,7.0834
Picture3.png,"[184, 268, 225, 283]",0�0\0|0?0,11.1514
Picture3.png,"[234, 268, 296, 280]",0V0\0[0.0}0,8.4023
Picture3.png,"[305, 268, 346, 280]",0S0\0~0,11.0823
Picture3.png,"[140, 295, 169, 309]",0:0.0�0,15.1787
Picture3.png,"[234, 295, 267, 306]",0#0.0~0,11.3749
Picture3.png,"[275, 295, 355, 306]",0@0<0[0|0{0.0`0,10.0192
Picture3.png,"[178, 357, 317, 386]",0606010H010|0,19.1823
Picture3.png,"[216, 513, 281, 531]",0R0_0<0[0<0{0}0,11.2993
Picture3.png,"[246, 542, 299, 554]",0#0!0R0W0R0#0(0,21.2502
Picture3.png,"[305, 542, 349, 554]",0U0X0Y0N0J0,24.4622
Picture3.png,"[146, 545, 219, 557]",_0.0:0<0`0{0.0_0.0-0,10.9067
Picture3.png,"[196, 566, 231, 578]",0603020,15.9468
Picture3.png,"[234, 566, 299, 575]",0M0?0n0504050,11.9545
Picture3.png,"[28, 622, 60, 634]",0J0-0-0,15.6908
Picture3.png,"[110, 622, 181, 634]","0`0;0\0_0{0,0|0[0",10.0302
Picture3.png,"[193, 622, 228, 634]","0|0,0;0",10.7897
Picture3.png,"[261, 622, 293, 637]",0Y0*0}0,14.7032
Picture3.png,"[299, 622, 355, 637]",0#0_0<0[0<0{0�0H0E0,10.6588
Picture3.png,"[157, 649, 199, 657]",0*0@0,6.0422
Picture3.png,"[208, 649, 272, 663]",`0.0[0*0<0[0:0,11.9052
Picture3.png,"[278, 649, 337, 660]",@0\0[0.0}0,9.2682
